user,uid,path,trustee,appliesto
.CN=TerrierL.OU=HDV.O=ANNECY.T=MRY.,TerrierL,\dgre\Sandra LORGEOU,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=TerrierL.OU=HDV.O=ANNECY.T=MRY.,TerrierL,\dgre,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Juridic.OU=HDV.O=ANNECY.T=MRY.,GG_Juridic,\Archives\Commun,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Juridic.OU=HDV.O=ANNECY.T=MRY.,GG_Juridic,\Archives,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=FernandezC.OU=HDV.O=ANNECY.T=MRY.,FernandezC,\Archives\Fernandez,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=FernandezC.OU=HDV.O=ANNECY.T=MRY.,FernandezC,\Archives,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=ServettazM.OU=HDV.O=ANNECY.T=MRY.,ServettazM,\Archives\Servettaz,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=ServettazM.OU=HDV.O=ANNECY.T=MRY.,ServettazM,\Archives,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BouvierC.OU=HDV.O=ANNECY.T=MRY.,BouvierC,\Archives\Bouvier,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=BouvierC.OU=HDV.O=ANNECY.T=MRY.,BouvierC,\Archives,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LenfantC.OU=HDV.O=ANNECY.T=MRY.,LenfantC,\Archives\Lenfant,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=LenfantC.OU=HDV.O=ANNECY.T=MRY.,LenfantC,\Archives,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Veyrat_de_lachenalC.OU=HDV.O=ANNECY.T=MRY.,Veyrat_de_lachenalC,\Archives\Lenfant,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Veyrat_de_lachenalC.OU=HDV.O=ANNECY.T=MRY.,Veyrat_de_lachenalC,\Archives,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie\Hubout\Commande 2013,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie\Hubout,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Culturel.OU=HDV.O=ANNECY.T=MRY.,GG_Culturel,\culturel\Creche_HDV\Année 2013\2013Cuisine,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Culturel.OU=HDV.O=ANNECY.T=MRY.,GG_Culturel,\culturel\Creche_HDV\Année 2013,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Culturel.OU=HDV.O=ANNECY.T=MRY.,GG_Culturel,\culturel\Creche_HDV,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Culturel.OU=HDV.O=ANNECY.T=MRY.,GG_Culturel,\culturel,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Culturel.OU=HDV.O=ANNECY.T=MRY.,GG_Culturel,\culturel\Creche_HDV\Année 2013\Grands,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Culturel.OU=HDV.O=ANNECY.T=MRY.,GG_Culturel,\culturel\Creche_HDV\Année 2013,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Culturel.OU=HDV.O=ANNECY.T=MRY.,GG_Culturel,\culturel\Creche_HDV,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Culturel.OU=HDV.O=ANNECY.T=MRY.,GG_Culturel,\culturel,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Rodrigues_de_AlmeidaD.OU=HDV.O=ANNECY.T=MRY.,Rodrigues_de_AlmeidaD,\etacivil\Commun\Secrétariat\Agents\Dina,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Rodrigues_de_AlmeidaD.OU=HDV.O=ANNECY.T=MRY.,Rodrigues_de_AlmeidaD,\etacivil\Commun\Secrétariat\Agents,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Rodrigues_de_AlmeidaD.OU=HDV.O=ANNECY.T=MRY.,Rodrigues_de_AlmeidaD,\etacivil\Commun\Secrétariat,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Rodrigues_de_AlmeidaD.OU=HDV.O=ANNECY.T=MRY.,Rodrigues_de_AlmeidaD,\etacivil\Commun,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Rodrigues_de_AlmeidaD.OU=HDV.O=ANNECY.T=MRY.,Rodrigues_de_AlmeidaD,\etacivil,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=DonyM.OU=BONLIEU.O=ANNECY.T=MRY.,DonyM,\culturel\Etudiant\BABY SITTING,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=DonyM.OU=BONLIEU.O=ANNECY.T=MRY.,DonyM,\culturel\Etudiant,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=DonyM.OU=BONLIEU.O=ANNECY.T=MRY.,DonyM,\culturel,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=EtienneA.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,EtienneA,\comerart\ACARE\VIE ECONOMIQUE\Perso,,ThisFolderSubFoldersAndFiles
.CN=EtienneA.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,EtienneA,\comerart\ACARE\VIE ECONOMIQUE,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=EtienneA.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,EtienneA,\comerart\ACARE,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=EtienneA.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,EtienneA,\comerart,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Comerart.OU=HDV.O=ANNECY.T=MRY.,GG_Comerart,\comerart\ACARE\VIE ECONOMIQUE\Perso,"Read,ReadAndExecute,Synchronize,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Comerart.OU=HDV.O=ANNECY.T=MRY.,GG_Comerart,\comerart\ACARE\VIE ECONOMIQUE,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Comerart.OU=HDV.O=ANNECY.T=MRY.,GG_Comerart,\comerart\ACARE,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Comerart.OU=HDV.O=ANNECY.T=MRY.,GG_Comerart,\comerart,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Adm.OU=HDV.O=ANNECY.T=MRY.,Adm,\comerart\COMMUN\DroitsVoirie\Install 2.8.0,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Adm.OU=HDV.O=ANNECY.T=MRY.,Adm,\comerart\COMMUN\DroitsVoirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Adm.OU=HDV.O=ANNECY.T=MRY.,Adm,\comerart\COMMUN,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Adm.OU=HDV.O=ANNECY.T=MRY.,Adm,\comerart,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Stationnement.OU=HDV.O=ANNECY.T=MRY.,GG_Stationnement,\STATIO\COMMUN\ARCHIVES\ACHATS\Achats FRS  2013,"Read,ReadAndExecute,Synchronize,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Stationnement.OU=HDV.O=ANNECY.T=MRY.,GG_Stationnement,\STATIO\COMMUN\ARCHIVES\ACHATS,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Stationnement.OU=HDV.O=ANNECY.T=MRY.,GG_Stationnement,\STATIO\COMMUN\ARCHIVES,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Stationnement.OU=HDV.O=ANNECY.T=MRY.,GG_Stationnement,\STATIO\COMMUN,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Stationnement.OU=HDV.O=ANNECY.T=MRY.,GG_Stationnement,\STATIO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-StatioAchats.OU=HDV.O=ANNECY.T=MRY.,GG_1-StatioAchats,\STATIO\COMMUN\ARCHIVES\ACHATS\Achats FRS  2013,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-StatioAchats.OU=HDV.O=ANNECY.T=MRY.,GG_1-StatioAchats,\STATIO\COMMUN\ARCHIVES\ACHATS,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-StatioAchats.OU=HDV.O=ANNECY.T=MRY.,GG_1-StatioAchats,\STATIO\COMMUN\ARCHIVES,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-StatioAchats.OU=HDV.O=ANNECY.T=MRY.,GG_1-StatioAchats,\STATIO\COMMUN,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-StatioAchats.OU=HDV.O=ANNECY.T=MRY.,GG_1-StatioAchats,\STATIO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Drh_Documentation.OU=HDV.O=ANNECY.T=MRY.,Drh_Documentation,\drh\Didierjean\Service gestion administrative,,ThisFolderSubFoldersAndFiles
.CN=Drh_Documentation.OU=HDV.O=ANNECY.T=MRY.,Drh_Documentation,\drh\Didierjean,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Drh_Documentation.OU=HDV.O=ANNECY.T=MRY.,Drh_Documentation,\drh,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Drh.OU=HDV.O=ANNECY.T=MRY.,GG_Drh,\drh\Didierjean\Service gestion administrative,,ThisFolderSubFoldersAndFiles
.CN=Drh.OU=HDV.O=ANNECY.T=MRY.,GG_Drh,\drh\Didierjean,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Drh.OU=HDV.O=ANNECY.T=MRY.,GG_Drh,\drh,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie\Hubout\Commande 2014,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie\Hubout,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Comerart.OU=HDV.O=ANNECY.T=MRY.,GG_Comerart,\comerart\Alili\Perso,,ThisFolderSubFoldersAndFiles
.CN=Comerart.OU=HDV.O=ANNECY.T=MRY.,GG_Comerart,\comerart\Alili,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Comerart.OU=HDV.O=ANNECY.T=MRY.,GG_Comerart,\comerart,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Bertet-pilonS.OU=HDV.O=ANNECY.T=MRY.,Bertet-pilonS,\comerart\Bertet-Pilon,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory,ReadPermissions,ChangePermissions",ThisFolderSubFoldersAndFiles
.CN=Bertet-pilonS.OU=HDV.O=ANNECY.T=MRY.,Bertet-pilonS,\comerart,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Everybody.O=ANNECY.T=MRY.,GG_Everybody,\Modeles,"Read,ReadAndExecute,Synchronize,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=PhilippeM.OU=HDV.O=ANNECY.T=MRY.,PhilippeM,\drh\Philippe,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=PhilippeM.OU=HDV.O=ANNECY.T=MRY.,PhilippeM,\drh,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie\Hubout\Commande 2015,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie\Hubout,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-Intervalle.OU=HDV.O=ANNECY.T=MRY.,GG_1-Intervalle,\social\Personnels Pôle Solidarités\Intervalle,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-Intervalle.OU=HDV.O=ANNECY.T=MRY.,GG_1-Intervalle,\social\Personnels Pôle Solidarités,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-Intervalle.OU=HDV.O=ANNECY.T=MRY.,GG_1-Intervalle,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Social.OU=HDV.O=ANNECY.T=MRY.,GG_Social,\social\COMMUN\Social2000.mdb,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Social.OU=HDV.O=ANNECY.T=MRY.,GG_Social,\social\COMMUN,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Social.OU=HDV.O=ANNECY.T=MRY.,GG_Social,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Social.OU=HDV.O=ANNECY.T=MRY.,GG_Social,\social\modeles,"Read,ReadAndExecute,Synchronize,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Social.OU=HDV.O=ANNECY.T=MRY.,GG_Social,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BillaudC.OU=HDV.O=ANNECY.T=MRY.,BillaudC,\social\modeles\Personnels Direction\Billaud,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=BillaudC.OU=HDV.O=ANNECY.T=MRY.,BillaudC,\social\modeles\Personnels Direction,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BillaudC.OU=HDV.O=ANNECY.T=MRY.,BillaudC,\social\modeles,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BillaudC.OU=HDV.O=ANNECY.T=MRY.,BillaudC,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=DefontaineJ.OU=HDV.O=ANNECY.T=MRY.,DefontaineJ,\INFO\Jean-Baptiste,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=DefontaineJ.OU=HDV.O=ANNECY.T=MRY.,DefontaineJ,\INFO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-InfoDemat.OU=HDV.O=ANNECY.T=MRY.,GG_1-InfoDemat,\INFO\Echanges dématérialisés,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-InfoDemat.OU=HDV.O=ANNECY.T=MRY.,GG_1-InfoDemat,\INFO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-Sherpa.OU=HDV.O=ANNECY.T=MRY.,GG_1-Sherpa,\INFO\Projets Sherpa,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-Sherpa.OU=HDV.O=ANNECY.T=MRY.,GG_1-Sherpa,\INFO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-Urba-ADAP.OU=HDV.O=ANNECY.T=MRY.,GG_1-Urba-ADAP,\dst\COMMUN\AD'AP,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-Urba-ADAP.OU=HDV.O=ANNECY.T=MRY.,GG_1-Urba-ADAP,\dst\COMMUN,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-Urba-ADAP.OU=HDV.O=ANNECY.T=MRY.,GG_1-Urba-ADAP,\dst,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=PreventionTranquillite.OU=HDV.O=ANNECY.T=MRY.,GG_PreventionTranquillite,\Prévention Tranquillité\Janssens\Privé,,ThisFolderSubFoldersAndFiles
.CN=PreventionTranquillite.OU=HDV.O=ANNECY.T=MRY.,GG_PreventionTranquillite,\Prévention Tranquillité\Janssens,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=PreventionTranquillite.OU=HDV.O=ANNECY.T=MRY.,GG_PreventionTranquillite,\Prévention Tranquillité,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Social-Pole-Direction.OU=HDV.O=ANNECY.T=MRY.,GG_Social-Pole-Direction,\social\Personnels Direction,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Social-Pole-Direction.OU=HDV.O=ANNECY.T=MRY.,GG_Social-Pole-Direction,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-BatCC-2.OU=HDV.O=ANNECY.T=MRY.,GG_1-BatCC-2,\batiment\Nouvelle CC\Suivi budgétaire quotidien 2016-2017\dossier suivi Cathy  2016-2017,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-BatCC-2.OU=HDV.O=ANNECY.T=MRY.,GG_1-BatCC-2,\batiment\Nouvelle CC\Suivi budgétaire quotidien 2016-2017,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-BatCC-2.OU=HDV.O=ANNECY.T=MRY.,GG_1-BatCC-2,\batiment\Nouvelle CC,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-BatCC-2.OU=HDV.O=ANNECY.T=MRY.,GG_1-BatCC-2,\batiment,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=MonardA.OU=HDV.O=ANNECY.T=MRY.,MonardA,\INFO\COMMUN\Marchés\Infra_2016\Systèmes d'impression,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=MonardA.OU=HDV.O=ANNECY.T=MRY.,MonardA,\INFO\COMMUN\Marchés\Infra_2016,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=MonardA.OU=HDV.O=ANNECY.T=MRY.,MonardA,\INFO\COMMUN\Marchés,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=MonardA.OU=HDV.O=ANNECY.T=MRY.,MonardA,\INFO\COMMUN,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=MonardA.OU=HDV.O=ANNECY.T=MRY.,MonardA,\INFO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=CrevoisierS.OU=HDV.O=ANNECY.T=MRY.,CrevoisierS,\finances\01_COMMUN\21. ANALYSES FIN. & PROJETS\21.1 Projet Commune Nouvelle\21.1.1 CN à 6\21.1.1.3 Données communes\21.1.1.3.6 Seynod\2. Données budgétaires\1. CA,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=CrevoisierS.OU=HDV.O=ANNECY.T=MRY.,CrevoisierS,\finances\01_COMMUN\21. ANALYSES FIN. & PROJETS\21.1 Projet Commune Nouvelle\21.1.1 CN à 6\21.1.1.3 Données communes\21.1.1.3.6 Seynod\2. Données budgétaires,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=CrevoisierS.OU=HDV.O=ANNECY.T=MRY.,CrevoisierS,\finances\01_COMMUN\21. ANALYSES FIN. & PROJETS\21.1 Projet Commune Nouvelle\21.1.1 CN à 6\21.1.1.3 Données communes\21.1.1.3.6 Seynod,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=CrevoisierS.OU=HDV.O=ANNECY.T=MRY.,CrevoisierS,\finances\01_COMMUN\21. ANALYSES FIN. & PROJETS\21.1 Projet Commune Nouvelle\21.1.1 CN à 6\21.1.1.3 Données communes,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=CrevoisierS.OU=HDV.O=ANNECY.T=MRY.,CrevoisierS,\finances\01_COMMUN\21. ANALYSES FIN. & PROJETS\21.1 Projet Commune Nouvelle\21.1.1 CN à 6,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=CrevoisierS.OU=HDV.O=ANNECY.T=MRY.,CrevoisierS,\finances\01_COMMUN\21. ANALYSES FIN. & PROJETS\21.1 Projet Commune Nouvelle,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=CrevoisierS.OU=HDV.O=ANNECY.T=MRY.,CrevoisierS,\finances\01_COMMUN\21. ANALYSES FIN. & PROJETS,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=CrevoisierS.OU=HDV.O=ANNECY.T=MRY.,CrevoisierS,\finances\01_COMMUN,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=CrevoisierS.OU=HDV.O=ANNECY.T=MRY.,CrevoisierS,\finances,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-Fin.OU=HDV.O=ANNECY.T=MRY.,GG_1-Fin,\ECHANGES\SITUATIONS MENSUELLES BUDGETAIRE (ne pas supprimer),"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-Fin.OU=HDV.O=ANNECY.T=MRY.,GG_1-Fin,\ECHANGES,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Canicule.OU=HDV.O=ANNECY.T=MRY.,Canicule,\social\modeles\Personnels Direction\Bouvier\Secours\Euros,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Canicule.OU=HDV.O=ANNECY.T=MRY.,Canicule,\social\modeles\Personnels Direction\Bouvier\Secours,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Canicule.OU=HDV.O=ANNECY.T=MRY.,Canicule,\social\modeles\Personnels Direction\Bouvier,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Canicule.OU=HDV.O=ANNECY.T=MRY.,Canicule,\social\modeles\Personnels Direction,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Canicule.OU=HDV.O=ANNECY.T=MRY.,Canicule,\social\modeles,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Canicule.OU=HDV.O=ANNECY.T=MRY.,Canicule,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=KiefferV.OU=HDV.O=ANNECY.T=MRY.,KiefferV,\social\modeles\Personnels Direction\Bouvier\Secours\Euros,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=KiefferV.OU=HDV.O=ANNECY.T=MRY.,KiefferV,\social\modeles\Personnels Direction\Bouvier\Secours,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=KiefferV.OU=HDV.O=ANNECY.T=MRY.,KiefferV,\social\modeles\Personnels Direction\Bouvier,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=KiefferV.OU=HDV.O=ANNECY.T=MRY.,KiefferV,\social\modeles\Personnels Direction,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=KiefferV.OU=HDV.O=ANNECY.T=MRY.,KiefferV,\social\modeles,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=KiefferV.OU=HDV.O=ANNECY.T=MRY.,KiefferV,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\modeles\Personnels Direction\Bouvier\Secours\Euros\Secours2000.mdb,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\modeles\Personnels Direction\Bouvier\Secours\Euros,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\modeles\Personnels Direction\Bouvier\Secours,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\modeles\Personnels Direction\Bouvier,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\modeles\Personnels Direction,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\modeles,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction\Bouvier\Secours,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction\Bouvier,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social\Personnels Direction,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-SocialSecours.OU=HDV.O=ANNECY.T=MRY.,GG_1-SocialSecours,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
